ZipCode,Latitude,Longitude,State,City,County Name,CountyFIPS,StateFIPS
78572,26.298168,-98.421234,TX,MISSION,HIDALGO,215,48
60629,41.774432,-87.712733,IL,CHICAGO,COOK,31,17
60623,41.847829,-87.717394,IL,CHICAGO,COOK,31,17
11226,40.645412,-73.95873,NY,BROOKLYN,KINGS,47,36
11373,40.738341,-73.877886,NY,ELMHURST,QUEENS,81,36
90201,33.976168,-118.167642,CA,BELL GARDENS,LOS ANGELES,37,6
90650,33.90725,-118.075758,CA,NORWALK,LOS ANGELES,37,6
10021,40.769831,-73.958514,NY,NEW YORK,NEW YORK,61,36
90011,34.009842,-118.258642,CA,LOS ANGELES,LOS ANGELES,37,6
11368,40.75233,-73.853462,NY,CORONA,QUEENS,81,36
60647,41.921054,-87.702362,IL,CHICAGO,COOK,31,17
92054,33.194151,-117.363406,CA,OCEANSIDE,SAN DIEGO,73,6
60618,41.946568,-87.702884,IL,CHICAGO,COOK,31,17
11385,40.698203,-73.880444,NY,RIDGEWOOD,QUEENS,81,36
91331,34.256679,-118.418553,CA,PACOIMA,LOS ANGELES,37,6
10025,40.798345,-73.963158,NY,NEW YORK,NEW YORK,61,36
11236,40.639866,-73.899428,NY,BROOKLYN,KINGS,47,36
60617,41.705996,-87.56277,IL,CHICAGO,COOK,31,17
90280,33.938527,-118.190404,CA,SOUTH GATE,LOS ANGELES,37,6
10467,40.876653,-73.871508,NY,BRONX,BRONX,5,36
90250,33.912776,-118.345632,CA,HAWTHORNE,LOS ANGELES,37,6
60639,41.920394,-87.755987,IL,CHICAGO,COOK,31,17
11220,40.640737,-74.018376,NY,BROOKLYN,KINGS,47,36
60608,41.848845,-87.67125,IL,CHICAGO,COOK,31,17
79936,31.754078,-106.295844,TX,EL PASO,EL PASO,141,48
90805,33.862002,-118.1777,CA,LONG BEACH,LOS ANGELES,37,6
60625,41.972002,-87.703656,IL,CHICAGO,COOK,31,17
92704,33.719796,-117.914119,CA,SANTA ANA,ORANGE,59,6
94509,37.989819,-121.807297,CA,ANTIOCH,CONTRA COSTA,13,6
