zip,primary_record,is_primary,state,state_name,city,city_key,county,county_key,county_fips_3,state_fips,county_fips,finance_number
85349,P,True,AZ,Arizona,San Luis,SAN LUIS,Yuma,YUMA,027,04,04027,37548
86503,P,True,AZ,Arizona,Chinle,CHINLE,Apache,APACHE,001,04,04001,31554
92325,P,True,CA,California,Crestline,CRESTLINE,San Bernardino,SAN BERNARDINO,071,06,06071,51896
86045,P,True,AZ,Arizona,Tuba City,TUBA CITY,Coconino,COCONINO,005,04,04005,38843
86040,P,True,AZ,Arizona,Page,PAGE,Coconino,COCONINO,005,04,04005,35908
85941,P,True,AZ,Arizona,Whiteriver,WHITERIVER,Navajo,NAVAJO,017,04,04017,39324
81620,P,True,CO,Colorado,Avon,AVON,Eagle,EAGLE,037,08,08037,70522
92352,P,True,CA,California,Lake Arrowhead,LAKE ARROWHEAD,San Bernardino,SAN BERNARDINO,071,06,06071,54086
86505,P,True,AZ,Arizona,Ganado,GANADO,Apache,APACHE,001,04,04001,33293
85236,P,True,AZ,Arizona,Higley,HIGLEY,Maricopa,MARICOPA,013,04,04013,33885
86033,P,True,AZ,Arizona,Kayenta,KAYENTA,Navajo,NAVAJO,017,04,04017,34329
79838,P,True,TX,Texas,Fabens,FABENS,El Paso,EL PASO,141,48,48141,482985
78543,P,True,TX,Texas,Elsa,ELSA,Hidalgo,HIDALGO,215,48,48215,482850
87327,P,True,NM,New Mexico,Zuni,ZUNI,Mckinley,MCKINLEY,031,35,35031,349576
93234,P,True,CA,California,Huron,HURON,Fresno,FRESNO,019,06,06019,53612
46556,P,True,IN,Indiana,Notre Dame,NOTRE DAME,St Joseph,ST JOSEPH,141,18,18141,176413
85550,P,True,AZ,Arizona,San Carlos,SAN CARLOS,Gila,GILA,007,04,04007,37474
87313,P,True,NM,New Mexico,Crownpoint,CROWNPOINT,Mckinley,MCKINLEY,031,35,35031,342079
70712,P,True,LA,Louisiana,Angola,ANGOLA,West Feliciana,WEST FELICIANA,125,22,22125,210260
92315,P,True,CA,California,Big Bear Lake,BIG BEAR LAKE,San Bernardino,SAN BERNARDINO,071,06,06071,50696
86510,P,True,AZ,Arizona,Pinon,PINON,Navajo,NAVAJO,017,04,04017,36560
92382,P,True,CA,California,Running Springs,RUNNING SPRINGS,San Bernardino,SAN BERNARDINO,071,06,06071,56654
86504,P,True,AZ,Arizona,Fort Defiance,FORT DEFIANCE,Apache,APACHE,001,04,04001,32997
89883,P,True,NV,Nevada,West Wendover,WEST WENDOVER,Elko,ELKO,007,32,32007,319525
31034,P,True,GA,Georgia,Hardwick,HARDWICK,Baldwin,BALDWIN,009,13,13009,124004
96143,P,True,CA,California,Kings Beach,KINGS BEACH,Placer,PLACER,061,06,06061,53948
13602,P,True,NY,New York,Fort Drum,FORT DRUM,Jefferson,JEFFERSON,045,36,36045,358970
81631,P,True,CO,Colorado,Eagle,EAGLE,Eagle,EAGLE,037,08,08037,72610
79845,P,True,TX,Texas,Presidio,PRESIDIO,Presidio,PRESIDIO,377,48,48377,487305
86515,P,True,AZ,Arizona,Window Rock,WINDOW ROCK,Apache,APACHE,001,04,04001,39509
87375,P,True,NM,New Mexico,Yatahey,YATAHEY,Mckinley,MCKINLEY,031,35,35031,343423
86021,P,True,AZ,Arizona,Colorado City,COLORADO CITY,Mohave,MOHAVE,015,04,04015,31942
96145,P,True,CA,California,Tahoe City,TAHOE CITY,Placer,PLACER,061,06,06061,57686
87311,P,True,NM,New Mexico,Church Rock,CHURCH ROCK,Mckinley,MCKINLEY,031,35,35031,341608
77446,P,True,TX,Texas,Prairie View,PRAIRIE VIEW,Waller,WALLER,473,48,48473,487295
89449,P,True,NV,Nevada,Stateline,STATELINE,Douglas,DOUGLAS,005,32,32005,319920
96093,P,True,CA,California,Weaverville,WEAVERVILLE,Trinity,TRINITY,105,06,06105,58304
90704,P,True,CA,California,Avalon,AVALON,Los Angeles,LOS ANGELES,037,06,06037,50414
89191,P,True,NV,Nevada,Nellis Afb,NELLIS AFB,Clark,CLARK,003,32,32003,314880
92549,P,True,CA,California,Idyllwild,IDYLLWILD,Riverside,RIVERSIDE,065,06,06065,53636
85939,P,True,AZ,Arizona,Taylor,TAYLOR,Navajo,NAVAJO,017,04,04017,38399
38677,P,True,MS,Mississippi,University,UNIVERSITY,Lafayette,LAFAYETTE,071,28,28071,278541
97761,P,True,OR,Oregon,Warm Springs,WARM SPRINGS,Jefferson,JEFFERSON,031,41,41031,408912
86511,P,True,AZ,Arizona,Saint Michaels,SAINT MICHAELS,Apache,APACHE,001,04,04001,37400
80443,P,True,CO,Colorado,Frisco,FRISCO,Summit,SUMMIT,117,08,08117,73384
87328,P,True,NM,New Mexico,Navajo,NAVAJO,Mckinley,MCKINLEY,031,35,35031,343423
78579,P,True,TX,Texas,Progreso,PROGRESO,Hidalgo,HIDALGO,215,48,48215,487335
31699,P,True,GA,Georgia,Moody A F B,MOODY A F B,Lowndes,LOWNDES,185,13,13185,129009
79853,P,True,TX,Texas,Tornillo,TORNILLO,El Paso,EL PASO,141,48,48141,489055
85933,P,True,AZ,Arizona,Overgaard,OVERGAARD,Navajo,NAVAJO,017,04,04017,35895
85329,P,True,AZ,Arizona,Cashion,CASHION,Maricopa,MARICOPA,013,04,04013,31258
93921,P,True,CA,California,Carmel By The Sea,CARMEL BY THE SEA,Monterey,MONTEREY,053,06,06053,51314
93261,P,True,CA,California,Richgrove,RICHGROVE,Tulare,TULARE,107,06,06107,56456
88231,P,True,NM,New Mexico,Eunice,EUNICE,Lea,LEA,025,35,35025,342919
59043,P,True,MT,Montana,Lame Deer,LAME DEER,Rosebud,ROSEBUD,087,30,30087,294770
77650,P,True,TX,Texas,Port Bolivar,PORT BOLIVAR,Galveston,GALVESTON,167,48,48167,487200
79855,P,True,TX,Texas,Van Horn,VAN HORN,Culberson,CULBERSON,109,48,48109,489270
84528,P,True,UT,Utah,Huntington,HUNTINGTON,Emery,EMERY,015,49,49015,493876
87364,P,True,NM,New Mexico,Sheep Springs,SHEEP SPRINGS,San Juan,SAN JUAN,045,35,35045,348736
87034,P,True,NM,New Mexico,Pueblo Of Acoma,PUEBLO OF ACOMA,Valencia,VALENCIA,061,35,35061,347707
84761,P,True,UT,Utah,Parowan,PAROWAN,Iron,IRON,021,49,49021,496868
86538,P,True,AZ,Arizona,Many Farms,MANY FARMS,Apache,APACHE,001,04,04001,31554
84634,P,True,UT,Utah,Gunnison,GUNNISON,Sanpete,SANPETE,039,49,49039,493332
77951,P,True,TX,Texas,Bloomington,BLOOMINGTON,Victoria,VICTORIA,469,48,48469,480875
89448,P,True,NV,Nevada,Zephyr Cove,ZEPHYR COVE,Douglas,DOUGLAS,005,32,32005,319920
86031,P,True,AZ,Arizona,Indian Wells,INDIAN WELLS,Navajo,NAVAJO,017,04,04017,33959
59323,P,True,MT,Montana,Colstrip,COLSTRIP,Rosebud,ROSEBUD,087,30,30087,291800
86520,P,True,AZ,Arizona,Blue Gap,BLUE GAP,Navajo,NAVAJO,017,04,04017,36560
78359,P,True,TX,Texas,Gregory,GREGORY,San Patricio,SAN PATRICIO,409,48,48409,483750
94511,P,True,CA,California,Bethel Island,BETHEL ISLAND,Contra Costa,CONTRA COSTA,013,06,06013,50654
86023,P,True,AZ,Arizona,Grand Canyon,GRAND CANYON,Coconino,COCONINO,005,04,04005,33589
94037,P,True,CA,California,Montara,MONTARA,San Mateo,SAN MATEO,081,06,06081,55094
78558,P,True,TX,Texas,La Blanca,LA BLANCA,Hidalgo,HIDALGO,215,48,48215,484825
86053,P,True,AZ,Arizona,Kaibeto,KAIBETO,Coconino,COCONINO,005,04,04005,38621
89021,P,True,NV,Nevada,Logandale,LOGANDALE,Clark,CLARK,003,32,32003,315040
86512,P,True,AZ,Arizona,Sanders,SANDERS,Apache,APACHE,001,04,04001,37511
87325,P,True,NM,New Mexico,Tohatchi,TOHATCHI,Mckinley,MCKINLEY,031,35,35031,348736
87511,P,True,NM,New Mexico,Alcalde,ALCALDE,Rio Arriba,RIO ARRIBA,039,35,35039,340168
87319,P,True,NM,New Mexico,Mentmore,MENTMORE,Mckinley,MCKINLEY,031,35,35031,343423
83849,P,True,ID,Idaho,Osburn,OSBURN,Shoshone,SHOSHONE,079,16,16079,156750
86039,P,True,AZ,Arizona,Kykotsmovi Village,KYKOTSMOVI VILLAGE,Navajo,NAVAJO,017,04,04017,34490
56670,P,True,MN,Minnesota,Redby,REDBY,Beltrami,BELTRAMI,007,27,27007,267790
92317,P,True,CA,California,Blue Jay,BLUE JAY,San Bernardino,SAN BERNARDINO,071,06,06071,50804
95002,P,True,CA,California,Alviso,ALVISO,Santa Clara,SANTA CLARA,085,06,06085,50204
57570,P,True,SD,South Dakota,Rosebud,ROSEBUD,Todd,TODD,121,46,46121,467452
